2020-03-13 17:47:30.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:48:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:48:30.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:49:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:49:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:50:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:50:30.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:51:00.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:51:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:52:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:52:30.006 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:53:00.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:53:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:54:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:54:30.006 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:55:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:55:30.006 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:56:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:56:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:57:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:57:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:58:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:58:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:59:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:59:30.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:00:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:00:30.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:01:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:01:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:02:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:02:30.006 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:03:00.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:03:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:04:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:04:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:05:00.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:05:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:06:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:06:30.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:07:00.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:07:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:08:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:08:30.007 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:09:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
